l,a,b,name
96,-0.06,0.06,white
91.08,-0.05,0.06,white
81.35,-0.05,0.06,white
71.6,-0.04,0.05,gray
61.7,-0.04,0.04,gray
51.57,-0.03,0.04,gray
41.22,-0.03,0.03,gray
30.77,-0.02,0.03,black
20.54,-0.02,0.02,black
15.6,-0.02,0.02,black
91.08,5.53,2.22,white
81.35,23.67,9.47,pink
71.6,32.18,12.57,pink
61.7,49.42,18.23,pink
51.57,59.36,19.67,red
41.22,61.4,17.92,red
30.77,47.34,12.58,red
20.54,36.82,3.13,brown
91.08,5.51,3.28,white
81.35,23.18,13.11,pink
71.6,31.7,17.23,pink
61.7,48.53,25.92,red
51.57,58.01,30.52,red
41.22,59.5,30.17,red
30.77,46.08,20.6,red
20.54,36.64,9.24,brown
91.08,5.54,4.46,white
81.35,22.67,17.48,pink
71.6,38.22,29.22,pink
61.7,46.38,35.47,orange
51.57,55.76,42.05,red
41.22,56.6,40.99,red
30.77,52.68,34.06,red
20.54,35.15,15.44,brown
91.08,5.43,5.64,white
81.35,21.06,22.4,orange
71.6,34.96,37.54,orange
61.7,49.15,56.82,orange
51.57,55.2,68.32,orange
41.22,51.06,58.81,red
30.77,40.89,36.03,brown
20.54,25.15,16.6,brown
91.08,5.21,7.67,white
81.35,18.52,26.72,orange
71.6,30.67,44.56,orange
61.7,44.69,79.79,orange
51.57,40.53,69.04,orange
41.22,32.37,46.62,orange
30.77,28.16,36.05,brown
20.54,15.99,14.49,brown
91.08,4.3,10.08,orange
81.35,14.87,30.96,orange
71.6,32.89,77.02,orange
61.7,29.38,64.4,orange
51.57,29.45,64.44,orange
41.22,22.15,41.13,brown
30.77,18.18,30.27,brown
20.54,13.28,18.21,brown
91.08,3.14,12.37,orange
81.35,14.98,47.04,orange
71.6,24.12,84.39,orange
61.7,22.09,71.31,orange
51.57,19.79,58.75,orange
41.22,17.04,45.95,brown
30.77,13.89,33.8,brown
20.54,10.16,21.44,brown
91.08,1.28,14.41,yellow
81.35,15.1,90.21,orange
71.6,15.62,90.72,yellow
61.7,14.45,76.93,yellow
51.57,13.12,63.99,yellow
41.22,9.31,37.8,brown
30.77,9.51,37.16,brown
20.54,3.62,11.09,brown
91.08,-0.46,29.79,yellow
81.35,7.28,109.12,yellow
71.6,6.22,81.95,yellow
61.7,5.87,68.59,yellow
51.57,5.33,54.9,yellow
41.22,4.42,40.43,brown
30.77,3.1,25.71,brown
20.54,1.58,11.89,brown
91.08,-5.25,45.24,yellow
81.35,-3.69,100.18,yellow
71.6,-2.3,85.64,yellow
61.7,-1.4,71.61,yellow
51.57,-0.48,57.27,yellow
41.22,-0.21,42.37,brown
30.77,-0.15,26.58,brown
20.54,-0.11,12.03,brown
91.08,-9.03,45.94,yellow
81.35,-10.94,87.9,yellow
71.6,-9.51,87.14,yellow
61.7,-7.92,73.21,yellow
51.57,-6.4,58.71,yellow
41.22,-4.87,43.26,green
30.77,-3.32,26.87,brown
20.54,-1.74,11.57,brown
91.08,-12.17,45.9,yellow
81.35,-17.25,87.99,yellow
71.6,-15.98,87.62,yellow
61.7,-14.02,73.17,yellow
51.57,-11.71,58.46,yellow
41.22,-9.31,43.05,green
30.77,-6.44,26.57,green
20.54,-3.09,10.75,green
91.08,-16.65,44.66,yellow
81.35,-26.04,85.63,yellow
71.6,-24.87,85.15,yellow
61.7,-21.81,70.54,green
51.57,-18.37,55.88,green
41.22,-14.57,40.52,green
30.77,-10.05,24.97,green
20.54,-4.47,9.36,green
91.08,-14.67,29.61,green
81.35,-30.49,65.57,green
71.6,-34.49,79.15,green
61.7,-30.13,65.11,green
51.57,-25.02,50.55,green
41.22,-19.48,36.56,green
30.77,-13.04,21.97,green
20.54,-5.36,7.98,green
91.08,-10.76,13.38,green
81.35,-40.58,54.46,green
71.6,-40.28,53.23,green
61.7,-46.97,64.65,green
51.57,-40.14,52.84,green
41.22,-33.18,41.15,green
30.77,-23.96,27.29,green
20.54,-14.85,15.25,green
91.08,-12.29,10.56,green
81.35,-38.45,34.02,green
71.6,-46.7,41.31,green
61.7,-55.94,49.19,green
51.57,-56.86,49.22,green
41.22,-38.39,31.53,green
30.77,-27.26,20.69,green
20.54,-16.46,11.28,green
91.08,-13.13,7.63,green
81.35,-42.41,23.78,green
71.6,-51.55,27.69,green
61.7,-51.58,26.3,green
51.57,-63.28,28.95,green
41.22,-53.57,23.28,green
30.77,-39.23,16.6,green
20.54,-17.35,7.46,green
91.08,-13.24,5.48,green
81.35,-33.8,12.41,green
71.6,-41.95,14.43,green
61.7,-52.22,16.26,green
51.57,-52.87,15.46,green
41.22,-54.08,14.27,green
30.77,-39.62,10.61,green
20.54,-27.79,7.33,black
91.08,-13.22,3.82,green
81.35,-33.63,8.67,green
71.6,-41.85,9.77,green
61.7,-52.09,10.63,green
51.57,-52.69,9.7,green
41.22,-53.43,8.61,green
30.77,-49.93,6.94,green
20.54,-27.43,4.26,green
91.08,-12.96,2.42,green
81.35,-33.04,4.96,green
71.6,-41.54,5.41,green
61.7,-51.88,5.51,green
51.57,-51.99,4.46,green
41.22,-52.68,3.36,green
30.77,-39.18,2.14,green
20.54,-26.87,1.22,black
91.08,-12.69,1.23,green
81.35,-32.18,1.81,green
71.6,-40.91,1.15,green
61.7,-41.11,0.19,green
51.57,-51.2,-1.36,green
41.22,-41.21,-2.07,green
30.77,-29.07,-1.92,green
20.54,-17.18,-1.47,black
91.08,-11.94,-0.27,white
81.35,-21.19,-1.35,green
71.6,-39.21,-4.56,green
61.7,-39.17,-5.88,green
51.57,-38.59,-7,blue
41.22,-39.09,-8.33,blue
30.77,-27.32,-6.72,green
20.54,-16.13,-4.67,black
91.08,-10.86,-2.13,blue
81.35,-19.64,-4.3,blue
71.6,-27.52,-7.11,blue
61.7,-36.77,-10.9,blue
51.57,-36.19,-11.99,blue
41.22,-36.33,-13.61,blue
30.77,-25.67,-10.89,blue
20.54,-15.07,-7.11,black
91.08,-9.69,-3.22,blue
81.35,-18.27,-7.01,blue
71.6,-25.13,-11.03,blue
61.7,-33.16,-16.42,blue
51.57,-32.36,-17.71,blue
41.22,-24.01,-14.24,blue
30.77,-22.84,-15.29,blue
20.54,-13.39,-9.92,black
91.08,-7.96,-4.41,blue
81.35,-16.44,-9.33,blue
71.6,-22.32,-14.67,blue
61.7,-29.22,-21.27,blue
51.57,-27.95,-22.24,blue
41.22,-20.46,-17.64,blue
30.77,-19.73,-18.89,blue
20.54,-11.72,-12.03,black
91.08,-6.32,-5.08,white
81.35,-13.22,-11.59,blue
71.6,-18.37,-18.07,blue
61.7,-22.98,-25.73,blue
51.57,-21.72,-26.63,blue
41.22,-21.08,-28.21,blue
30.77,-15.41,-22,blue
20.54,-9.52,-13.99,black
91.08,-4.65,-5.34,white
81.35,-10.44,-12.79,blue
71.6,-14.22,-19.9,blue
61.7,-16.81,-28.31,blue
51.57,-15.72,-29.08,blue
41.22,-14.67,-30.69,blue
30.77,-10.88,-24.2,blue
20.54,-9.22,-24.04,black
91.08,-3.48,-5.55,white
81.35,-6.82,-13.92,blue
71.6,-12.05,-29.46,blue
61.7,-13.07,-37.55,blue
51.57,-11.88,-38.56,blue
41.22,-10.54,-39.65,blue
30.77,-7.86,-33.8,blue
20.54,-5.25,-25.49,blue
91.08,-1.49,-5.61,white
81.35,-5.05,-23.28,blue
71.6,-5.09,-30.75,blue
61.7,-4.52,-39.18,blue
51.57,-3.41,-48.08,blue
41.22,-2.09,-40.81,blue
30.77,0.29,-43.03,blue
20.54,0.11,-26.61,blue
91.08,-0.37,-5.58,white
81.35,-0.24,-24.03,blue
71.6,0.85,-31.32,blue
61.7,2.64,-39.49,blue
51.57,5.02,-48.35,blue
41.22,7.17,-48.94,blue
30.77,7.86,-43.39,blue
20.54,7.63,-35.92,blue
91.08,1.12,-5.38,white
81.35,3.22,-14.27,blue
71.6,6.06,-22.71,blue
61.7,9.58,-30.64,blue
51.57,14.19,-39.14,blue
41.22,20.81,-48.05,blue
30.77,25.75,-49.63,blue
20.54,23.81,-41.87,blue
91.08,2.19,-4.93,white
81.35,5.82,-13.42,blue
71.6,10.25,-21.6,purple
61.7,15.28,-29.05,purple
51.57,22.05,-37.02,purple
41.22,24.29,-38.02,blue
30.77,28.36,-39.75,purple
20.54,23.12,-31.33,purple
91.08,2.95,-4.85,white
81.35,8.19,-12.62,purple
71.6,13.67,-19.66,purple
61.7,20.07,-26.92,purple
51.57,27.4,-33.72,purple
41.22,29.49,-34.06,purple
30.77,33.51,-35.69,purple
20.54,26.82,-27.84,purple
91.08,3.36,-4.24,white
81.35,9.68,-11.26,pink
71.6,16.13,-17.52,purple
61.7,23.29,-23.79,purple
51.57,31.24,-29.94,purple
41.22,33.08,-30.5,purple
30.77,36.9,-32.14,purple
20.54,29.26,-25.01,purple
91.08,4.31,-2.82,white
81.35,18.74,-12.74,pink
71.6,26.62,-18.32,purple
61.7,34.47,-24.03,purple
51.57,35.21,-24.66,purple
41.22,36.48,-25.75,purple
30.77,39.78,-27.99,purple
20.54,22.74,-16.65,purple
91.08,4.7,-2,white
81.35,21.03,-9.69,pink
71.6,29.26,-13.95,pink
61.7,37.1,-18.34,pink
51.57,46.17,-23.4,purple
41.22,46.93,-24.7,purple
30.77,42.44,-23.6,purple
20.54,24.14,-14.33,purple
91.08,5.04,-1.14,white
81.35,22.62,-5.51,pink
71.6,38.97,-10.98,pink
61.7,38.67,-11.63,pink
51.57,48.98,-15.95,pink
41.22,49.84,-17.34,pink
30.77,44.87,-16.65,purple
20.54,34.44,-14.69,purple
91.08,5.27,-0.1,white
81.35,23.53,-0.96,pink
71.6,40.04,-2.7,pink
61.7,40.07,-3.44,pink
51.57,51.2,-5.84,pink
41.22,51.84,-8.08,pink
30.77,46.25,-9.51,purple
20.54,35.44,-10.4,purple
91.08,5.41,0.74,white
81.35,23.82,2.52,pink
71.6,32.47,2.76,pink
61.7,49.38,2.78,pink
51.57,59.69,1.53,pink
41.22,52.58,-0.05,pink
30.77,46.93,-2.51,pink
20.54,35.97,-6.33,purple
91.08,5.44,1.5,white
81.35,23.74,6.18,pink
71.6,32.41,7.97,pink
61.7,49.67,10.71,pink
51.57,59.79,10.72,pink
41.22,61.57,8.63,pink
30.77,47.63,5.24,red
20.54,36.42,-2.08,purple
